Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref98,cid4641935,Artifacts,Objects,"D. Rosenberg & Son. New York, NY, Billhead from D. Rosenberg and Son, manufacturer of varnishes and japans","Billhead from D. Rosenberg and Son, manufacturer of varnishes and japans",,,D. Rosenberg & Son,"New York, NY",1860,Folder,Mixed materials,Binder O,Page,1c,
ref99,cid4641934,Artifacts,Objects,"Goldstein, Louis L. New York, NY, Menu for the 40th anniversary of Mordecai Lodge printed on aluminum, and used as ad for Louis L. Goldstein","Menu for the 40th anniversary of Mordecai Lodge printed on aluminum, and used as ad for Louis L. Goldstein","Goldstein, Louis L.",,,"New York, NY",1904,Drawer,Mixed materials,Judaica Americana,Folder,NYC 824,doc_ja_nyc_824_1r.tif; doc_ja_nyc_824_1v.tif
ref100,cid4641933,Artifacts,Objects,"Hershel's. New York, NY, Sign advertising Hershel's king size New York ""corntrami""","Sign advertising Hershel's king size New York ""corntrami""",,,Hershel's,"New York, NY",1950,Box,Mixed materials,4,Object,9,bx4_9_1r.tif; bx4_9_1v.tif
ref101,cid4641932,Artifacts,Objects,"Hyams, Louis and Cohn, Louis. Salt Lake City, UT, Silk political ribbon used as ad for the Liberal ticket",Silk political ribbon used as ad for the Liberal ticket,"Hyams, Louis","Cohn, Louis",,"Salt Lake City, UT",1890,Drawer,Mixed materials,Judaica Americana,Folder,UT 629,doc_ja_ut_629_1r.tif; doc_ja_ut_629_1v.tif
ref102,cid4641931,Artifacts,Objects,"I. W. Goldberg. Bridgeton, NJ, Fan used as ad for I.W. Goldberg with a scene entitled ""the old mill.""","Fan used as ad for I.W. Goldberg with a scene entitled ""the old mill.""",,,I. W. Goldberg,"Bridgeton, NJ",1920,Drawer,Mixed materials,Mickve Israel,Folder,12,
ref103,cid4641930,Artifacts,Objects,"Isaacs, Henry. Greenfield, MA, Single month calendar with a drawing of a flapper by Frank Desch, used as ad for Henry Isaacs","Single month calendar with a drawing of a flapper by Frank Desch, used as ad for Henry Isaacs","Isaacs, Henry",,,"Greenfield, MA",1880,Drawer,Mixed materials,Billheads Post-1880,Folder,MA 280,doc_bhl_ma_280_1r.tif; doc_bhl_ma_280_1v.tif
ref104,cid4641929,Artifacts,Objects,"Joseph Ullmann. New York, NY, Tag for raw fur dealer",Tag for raw fur dealer,,,Joseph Ullmann,"New York, NY",undated,Drawer,Mixed materials,Billhead Post-1880,Folder,NYC 686,doc_bhl_nyc_686_1r.tif; doc_bhl_nyc_686_1v.tif
ref105,cid4641928,Artifacts,Objects,"Levy, L. New York, NY, Canvas fishing tackle pouch, used as an ad for L. Levy's sporting goods store","Canvas fishing tackle pouch, used as an ad for L. Levy's sporting goods store","Levy, L.",,,"New York, NY",1890,Drawer,Mixed materials,Judaica Americana,Folder,NYC 923,doc_ja_nyc_923_1r.tif; doc_ja_nyc_923_1v.tif
ref106,cid4641927,Artifacts,Objects,"M. Singer and Sons. Paterson, NJ, Labels for ginger ale, 2 lemons, 2 creams, celery and 2 grapes with star of David","Labels for ginger ale, 2 lemons, 2 creams, celery and 2 grapes with star of David",,,M. Singer and Sons,"Paterson, NJ",1930,Folder,Mixed materials,Binder E,Page,4,
ref107,cid4641926,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 689,doc_ja_va_689_1r.tif; doc_ja_va_689_1v.tif
ref108,cid4641925,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 684,doc_ja_va_684_1r.tif; doc_ja_va_684_1v.tif
ref109,cid4641924,Artifacts,Objects,"P. Whitlock. VA, Wrapper for Old Virginia Cheroots",Wrapper for Old Virginia Cheroots,,,P. Whitlock,VA,1891,Drawer,Mixed materials,Judaica Americana,Folder,VA 685,doc_ja_va_685_1r.tif; doc_ja_va_685_1v.tif
