	Jonathan Edwards	Benjamin Franklin	George Washington	James Logan	John Adams	Massachusetts Bay Colony	Richard Mather	Thomas Jefferson	William Byrd
Joan Blaeu	0	0	0	0	0	0	0	0	0.1
Asher Isaac Myers	0	0	0	0	0	0	0	0	0.1
Samuel Green	0	0	0	0	0	0	0	0	0.1
Joseph McKean	0	0	0	0	0	0	0	0	0.1
James Printer	0	0	0	0	0	0	0	0	0.1
William Norton	0	0	0	0	0	0	0	0	0.1
William Marsden	0	0	0	0	0	0	0	0	0.1
AndreÌÅ Du Ryer	0	0	0	0	0	0	0	0	0.1
Alexander Ross	0	0	0	0	0	0	0	0	0.1
Jean-Baptiste de Boyer Argens	0	0	0	0	0	0	0	0	0.1
Jean Le Clerc	0	0	0	0	0	0	0	0	0.1
Pierre Allix	0	0	0	0	0	0	0	0	0.1
Johann Amos Comenius	0	0	0	0	0	0	0	0	0.2
Guillaume BudÃ©	0	0	0	0	0	0	0	0	0.1
Justus Lipsius	0	0	0	0	0	0	0	0	0.3
